Filename,Database Title
"chunky_newm.wav","Chunky"
"dream_mastered.wav","Dream"
"what it is.wav","What It Is"
"peacefullypeace_2.wav","Peacefullypeace"
"open_wide.wav","Open Wide"
"on sight.wav","On Sight"
"monetary_2121.wav","Monetary"
"getnaughty.wav","Get Naughty"
"get it in.wav","Get It in"
"wishingwell_23_mixdown.wav","Wishingwell"
"wish i was dead.wav","Wish I Was Dead"
"unloved.wav","Unloved"
"spaces.wav","Spaces"
"say it_up.wav","Say It Up"
"killing me.wav","Killing Me"
"unforgettable.wav","Unforgettable"
"highup.wav","Highup"
"far away.wav","Far Away"
"fundrip_exhale.wav","Fundrip"
"a stop in time.mp3","A Stop in Time"
"demon soul.wav","Demon Soul"
"maybe baby itts on me.mp3","Maybe Baby Itts on Me"
"olb_remix_untitled12_mastered.wav","OLB Remix"
"adrift.wav","Adrift"
"NOSERVICE.wav","No Service"
"speedofpain.wav","Speed of Pain"
"through the ringer_2.wav","Through the Ringer"
"through the ringer.wav","Through the Ringer"
"20-climb-to-you_th3scr1b3_afterlife.wav","Climb to You"
"18-one-bye-one_th3scr1b3_afterlife.wav","One Bye One"
"16-trip_th3scr1b3_afterlife.wav","Trip"
"comeondance.wav","Come on Dance"
"emotuional_healing-mas.mp3","Emotuional Healing Mas"
"grenada_sr.mp3","Grenada"
"live forever feat xzibit.mp3","Live Forefeat Xzibit"
"PULSE.mp3","PULSE"
"overdosed_mas.wav","Odosed"
"dreams again.wav","Dreams Again"
"undercover_a_4 (Mastered with Clear Sky at 100pct).wav","Undercoa 4"
"my way_relay_m_mastered.mp3","My Way"
"hard2ignore.wav","Hard to Ignore"
"fast_life.2.wav","Fast Life"
"dont blame u_mix_5 (Mastered with Sunroof at 100pct).wav","Dont Blame U"
"bye-bi 2_mastered.wav","Bye Bi"
"better version of me.wav","Bettersion of Me"
"cant escape _ mas_Precise_Depth_Presence_4824.wav","Cant Escape Mas"
"cursed_2ndmix.wav","Cursed 2ndmix"
"climax_mas.wav","Climax"
"be here boo.mp3","Be Here Boo"
"awaits.wav","Awaits"
"your_choice.wav","Your Choice"
"open all night_ver_2.wav","Open All Night"
"little light.wav","Little Light"
"if you come along.wav","If You Come Along"
"gasp (download).wav","Gasp"
"D AND D.wav","D and D"
"luckyland.wav","Luckyland"
"luckyland_reprise.wav","Luckyland Reprise"
"long haul.wav","Long Haul"
"Monday ta wenday ta friday_relay.wav","Monday Ta Wenday Ta Friday"
"come together.wav","Come Together"
"starshining.wav","Starshining"
"tightrope+_2_mastered.wav","Tightrope+"
"tried_n_true.wav","Tried N True"
"loss.wav","Loss"
"LIGHTBURST_mastered.wav","Lightburst"
" malibu.wav","Malibu"
"sirens.mp3","Sirens"
"adrift_2.wav","Adrift"
"FILTHY.wav","Filthy"
"hhhhhhhhhhhhh.wav","Hhhhhhhhhhhhh"
"07-midnight-piano_ th3scr1b3 _afterlife.wav","Midnight Piano"
"02-why-u-lie_ th3scr1b3 _afterlife.wav","Why U Lie"
"xzinbit- forever.mp3","Xzibit Forever"
"what is god withoot me.mp3","What Is God Withoot Me"
"breaking m e _ m.mp3","Breaking M E"
"go get it. _m.wav","Go Get It"
"grave robber.mp3","Grave Robber"
"mikeyM.mp3","Mikeym"
"nick_snuff_m3.mp3","Nick Snuff M3"
"ONLY SON.wav","ONLY SON"
"poetry.mp3","Poetry"
"prevail.mp3","Prevail"
"prevailM_scriber.mp3","Prevail Scriber"
"summers ending.wav","Summers Ending"
"stamerica_mixdown.wav","St America"
"she-said-lil-richard-where-da-fux-u-@_mixdown.wav","She Said Lil Richard Where Da Fux U"
"moment_of_exctasy_320.mp3","Moment of Exctasy"
"if you come along_@.wav","If You Come Along"
"fly away again_mixdown.wav","Fly Away Again"
"Copy of up all night.wav","Up All Night"
"Copy of pure popped.mp3","Pure Popped"
"cheat code 2.wav","Cheat Code"
"from the earth to the sea_flipped_mask_mastered.wav","From the Earth to the Sea Flipped Mask"
"sicko.wav","Sicko"
"can't go back.wav","Can't Go Back"
"ONE LAST BREATH_mastered-3.wav","ONE LAST Breath 3"
"dark_thoughts.mp3","Dark Thoughts"
"brave.wav","Brave"
"dont ghost me.mp3","Dont Ghost Me"
"what you know.wav","What You Know"
"whatUwant.wav","Whatuwant"
"te_amo.wav","Te Amo"
"ngbt1_2.wav","Ngbt1"
"natural disaster.wav","Natural Disaster"
"monetary_t.wav","Monetary T"
"kurtcobain.wav","Kurtcobain"
"jacy-24b.wav","Jacy B"
"GETGHOST.wav","Get Ghost"
"isitthathard_cyro_m.wav","Isitthathard"
"purpose.wav","Purpose"
"wasted by what.wav","Wasted by What"
"cant have (my balls).wav","Cant Have"
"faint copy.wav","Faint Copy"
"believing in just.wav","Believing in Just"
"isolkated.wav","Isolkated"
"bright day_mastered.wav","Bright Day"
"G Chauvin FLoyd - Tainted Gospal (W SIde)_mastered.wav","Tainted Gospal"
"surrender_to_u 2.wav","Surrender to U"
"So Done - Template.wav","So Done"
"80sstack_abbyroad.wav","80s Stack"
"dashboardoflife.wav","Dashboard of Life"
"thelight_abby_road_mastered.wav","The Light"
"15-complicated-s_th3scr1b3_afterlife.wav","Complicated S"
"04-blackout_ th3scr1b3 _afterlife.wav","Blackout"
"08-low-life_ th3scr1b3 _afterlife..wav","Low Life"
"01-feel-it_ th3scr1b3 _afterlife.wav","Feel It"
"21-when-i-say-forever_th3scr1b3_afterlife.wav","When I Say Forever"
"03-airwaves_feat-zillick_ th3scr1b3 _afterlife..wav","Airwaves Feat Zillick"
"12-getting-better_th3scr1b3_afterlife.wav","Getting Better"
"were going crazy world.wav","Were Going Crazy World"
"away_goes.mp3","Away Goes"
"be_nuter_m.mp3","Be Nuter"
"belong_m.mp3","Belong"
"footsteps_mas.mp3","Footsteps"
"fuck_b_m.mp3","Fuck B"
"hate_mix_down.wav","Hatedown"
"JOHNNY_DEMON_M.mp3","Johnny DEMON"
"shhh bitch.wav","Shhh Bitch"
"friendzone.wav","Friendzone"
"falllin.wav","Falllin"
"against the grain_2.wav","Against the Grain"
"way eight fore dat storm_level_2.wav","Way Eight Fore Dat Storm Level"
"rabbit_hole.wav","Rabbit Hole"
"locked up (Mastered with Sunroof at 65pct).wav","Locked Up"
"entropy_normal2.wav","Entropy"
"conversation_w_m.wav","Consation W"
"Trip into Background.wav","Trip Into Background"
"benefits me.wav","Benefits Me"
"darewell.mp3","Darewell"
"ds bangerz - 4 - come around persiuin.wav","Come Around Persiuin"
"choppmed of f ya feel_ROUGH'.wav","Choppmed of F Ya Feel Rough'"
"SWOOPED COUPE.wav","Swooped COUPE"
"left on red.wav","Left on Red"
"gethighwME_mixdown.wav","Get High with Me"
"feelgood.wav","Feel Good"
"hades.wav","Hades"
"too late fawy_mastered.wav","Too Late Fawy"
"talkin nody cover.wav","Talkin Nody"
"not good enough.mp3","Not Good Enough"
"a girl.wav","A Girl"
"addicted.wav","Addicted"
"nostalgic energby.wav","Nostalgic Energby"
"Unifying_mastered.wav","Unifying"
"G Chauvin FLoyd -Nostic Heresy (B Side)_mastered.wav","Nostic Heresy"
"haert_n_soul_collide.wav","Haert N Soul Collide"
"come along with me_mastered.wav","Come Along with Me"
"flicker like fire.mp3","Flicker Like Fire"
"maybe baby.wav","Maybe Baby"
"never ends.wav","Never Ends"
"olb_remix_untitled12_mastered-2.wav","OLB Remix 2"
"you're alwats on my mind.mp3","You're Alwats on My Mind"
"itsgonnabealright_sat.wav","It's Gonna Be Alright"
"otwt_real_scr1b3_mix.wav","Only Time Will Tell"
"sometimes_splitter_mas.wav","Sometimes"
"thelight_cover.wav","The Light"
"05-eco-n-time_ th3scr1b3 _afterlife.wav","Eco N Time"
"13-beauty_th3scr1b3_afterlife.wav","Beauty"
"11-reality_th3scr1b3_afterlife.wav","Reality"
"17-what-bryan-was-working-on-last_th3scr1b3_afterlife.wav","What Bryan Was Working on Last"
"10-spippin_th3scr1b3_afterlife.wav","Spippin"
"wysiwyg_mas.mp3","Wysiwyg"
"you got me m.wav","You Got Me"
"alien_2nd mix.mp3","Alien 2nd Mix"
"burning it down covermd2.mp3","Burning It Down Comd2"
"climbing_2u_neews.mp3","Climbing 2u"
"cold_as_ice_m.wav","Cold As Ice"
"goods_4_me_mastered.mp3","Goods 4 Me"
"never gonnas stop loving you.mp3","Negonnas Stop Loving You"
"no place 2 hide.mp3","No Place 2 Hide"
"scars in my mind _ m.wav","Scars in My Mind"
"Trippie feat Rittz.mp3","Trippie"
"leave_me_dead_48000.mp3","Leave Me Dead"
"d'ss bangerz - 2 - aborted.wav","Aborted"
"Monday ta wenday ta friday_mastered.wav","Monday Ta Wenday Ta Friday"
"devour.wav","Devour"
" re(place).wav","Re"
"hemmorage_1.wav","Hemmorage"
"untied.wav","Untied"
"diamond death.wav","Diamond Death"
"were only humanmd7.wav","Were Only Humanmd7"
"14-mythical_th3scr1b3_afterlife.wav","Mythical"
"19-my-past_th3scr1b3_afterlife.wav","My Past"
"06-purple-sky_ th3scr1b3 _afterlife.wav","Purple Sky"
"09-flowers-of-us_th3scr1b3_afterlife.wav","Flowers of Us"
"alf_m2.wav","Alf"
"FALLING Apart_m.mp3","Falling Apart"
"grin nada _ m.mp3","Grin Nada"
"Master Sau.mp3","Sau"
"odds_mas.mp3","Odds"
"oldenside of you.mp3","Oldenside of You"
"outlast_mas.mp3","Outlast"
"Pop_1.wav","Pop"
"pit_what_i_got.mp3","Pit What I Got"
"you like steve earle_mastered (1).wav","You Like Steve Earle"
"up all night_v2_mastered.wav","Up All Night"
"quite the lie_1 (Mastered with Sunroof at 100pct).wav","Quite the Lie 1"
"no matter the pain_2.wav","No Matter the Pain"
"find_her_demo-Master-Entire Mix (Bounced).wav","Find Her Demo Entire Mix"
"burn it to the ground master gapless.wav","Burn It to the Ground Gapless"
"a fine sin remix 3.wav","A Fine Sin Remix"
" awe_ofU.wav","Awe Ofu"
"self_dick_mas.wav","Self Dick"
"backroads.wav","Backroads"
"basic_mas.wav","Basic"
"abandon.wav","Abandon"
"clever_bit.wav","Clebit"
"dreams shattered.mp3","Dreams Shattered"
"dont ghost me V2.mp3","Dont Ghost Me"
"sunset.mp3","Sunset"
"starlight.mp3","Starlight"
"sing to me.mp3","Sing to Me"
"true lies.mp3","True Lies"
"tryied.mp3","Tryied"
"yourbody.mp3","Yourbody"
"camebackaroudnd.mp3","Camebackaroudnd"
"world ending.mp3","World Ending"
"to be a man.mp3","To Be a Man"
"the_end_FEAT_KVON.mp3","The End"
"sweater.wav","Sweater"
"save_tonight.mp3","Save Tonight"
"riddle.mp3","Riddle"
"poth.mp3","Poth"
"my sacrifices.mp3","My Sacrifices"
"mystery.mp3","Mystery"
"ss_take one.wav","Ss Take One"
"message_4_k_comp_m1.wav","Message 4 K Comp M1"
"get over you (I need) - master.wav","Get Oyou"
"be_altM.wav","Be Altm"
"bitter_better.wav","Bitter Better"
"LANDR-dance floor-Balanced-Medium.mp3","LANDR Dance Floor Balanced Medium"
"to myself.wav","To Myself"
"LANDR-hemmorage_1-Open-Medium.mp3","LANDR Hemmorage 1 Open Medium"
"LANDR-childhood-Warm-Low.mp3","LANDR Childhood Warm Low"
"LANDR-scars in my mind _ m-Balanced-Medium.mp3","LANDR Scars in My Mind M Balanced Medium"
"LANDR-love for you-Balanced-Medium.mp3","LANDR Love for You Balanced Medium"
"LANDR-self_dick_mas-Balanced-Medium.mp3","LANDR Self Dick Mas Balanced Medium"
"4u.wav","4u"
"LANDR-smoothie-Balanced-Medium.mp3","LANDR Smoothie Balanced Medium"
"LANDR-a way out _ mas-Balanced-Medium.mp3","LANDR a Way Out Mas Balanced Medium"
"standing on e.wav","Standing on E"
"LANDR-sweet you-Warm-Medium.mp3","LANDR Sweet You Warm Medium"
"LANDR-want it any other way-Open-Low.mp3","LANDR Want It Any Other Way Open Low"
"grenada_3.wav","Grenada"
"double agent.wav","Double Agent"
"change perception_m.wav","Change Perception"
"running_mas.wav","Running"
"it wont take lolng.wav","It Wont Take Lolng"
"missing you.wav","Missing You"
"exhale.wav","Exhale"
"figures.wav","Figures"
"Copy of advice_2 (Mastered with Aurora at 100pct).wav","Advice 2"
"dirt road.wav","Dirt Road"
"life succubus.wav","Life Succubus"
"yourbody 3.mp3","Yourbody"
"bb_33_m.wav","Bb"
"buck im here yto fuck.wav","Buck Im Here Yto Fuck"
"wrap that_m.wav","Wrap That"
"you know you_2e.wav","You Know You 2e"
"shawty-not-a-hottie (freesyle + adlib).wav","Shawty Not a Hottie"
"paid_the_world_back-beat.wav","Paid the World Back Beat"
"momentofexctasy.wav","Momentofexctasy"
"afinesin.mp3","Afinesin"
"letitgo.mp3","Letitgo"
"LANDR-stay and i go-Balanced-Medium.wav","LANDR-stay and i go-Balanced-Medium"
